,Country,Video Title,Category,Sentiment,country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
95,Russia,ЧТО ЗА МОНСТР?! - ГЕЛИК 6х6 (G 63 AMG 6x6) АВТООБЗОР ОТ ДЖАВИДА #джавид #автообзор #гелик,People & Blogs,50.0,Russia,,49.6,52.2,56.2,51.6,53.9,53.9,56.2,55.4,60.4,60.0,58.5,55.8,55.1,54.4,55.0,54.5,56.6
96,Sri Lanka,Scary Teacher 3D vs Squid Game Baby Drawing Challenge Nick Loser and Tani Winner #shortsvideo,People & Blogs,100.0,Sri Lanka,,43.5,44.1,44.3,42.1,39.8,41.8,42.3,43.6,42.7,46.1,,43.3,44.4,42.1,47.8,41.0,44.4
97,Slovenia,Dad can handle a few more right?! 🤪🤪 #chavezfamily #family #familycomedy #baby #parentlife #funny,People & Blogs,100.0,Slovenia,,58.1,,,58.3,60.8,60.4,60.6,59.8,56.8,57.4,59.4,61.7,62.5,66.7,64.6,67.6,66.5
98,Serbia,“IZAŠLA SAM IZ SIROTINJE I NE ŽELIM U SIROTINJU” DARA BUBAMARA - VOSTCAST 34,People & Blogs,50.0,Serbia,,,47.5,,43.8,44.6,48.1,51.5,51.0,51.1,53.2,57.5,51.2,59.4,62.4,60.4,62.5,61.4
99,Sweden,Dad can handle a few more right?! 🤪🤪 #chavezfamily #family #familycomedy #baby #parentlife #funny,People & Blogs,100.0,Sweden,73.8,,72.4,75.2,72.7,75.0,73.8,75.6,74.3,72.4,72.9,73.7,72.9,73.8,74.0,73.1,74.4,74.0
100,Sweden,Is it a Solid or a Liquid 😳,People & Blogs,50.0,Sweden,73.8,,72.4,75.2,72.7,75.0,73.8,75.6,74.3,72.4,72.9,73.7,72.9,73.8,74.0,73.1,74.4,74.0
101,Tanzania,"HARMONIZE ATASOMEWA DUA, SHEHE ACHUKIZWA VIBAYA, ATUMA UJUMBE KWA BABA WA HARMONIZE, ACHA UISLAM",People & Blogs,50.0,Tanzania,,39.2,43.2,43.9,34.1,32.3,40.7,40.1,38.5,34.8,36.6,29.0,33.5,34.5,36.4,37.9,36.8,36.9
102,Turkey,SULAR ALTINDA KALMIŞ CİNLİ KÖY!!,People & Blogs,50.0,Turkey,47.2,,56.2,51.2,52.1,54.9,52.7,53.1,48.9,55.8,55.1,53.3,56.1,51.9,48.7,48.6,43.7,46.1
103,Ukraine,РАДУЖНАЯ ГОРКА 🌈😱,People & Blogs,50.0,Ukraine,,48.0,52.5,51.7,51.7,50.6,50.8,50.3,47.1,43.0,39.6,40.3,43.1,46.6,47.0,52.7,53.1,50.7
104,Ukraine,🤯 24 часа в моей итальянской семье @nastyawhere,People & Blogs,50.0,Ukraine,,48.0,52.5,51.7,51.7,50.6,50.8,50.3,47.1,43.0,39.6,40.3,43.1,46.6,47.0,52.7,53.1,50.7
105,Pakistan,bhen ne bhoot sary balloon diyein 😭❤️ #shorts #holidayswithshorts,People & Blogs,50.0,Pakistan,52.3,,56.7,44.1,52.1,57.9,52.7,51.3,51.4,54.4,48.2,55.5,58.3,54.7,44.4,46.2,44.9,45.5
106,Pakistan,Gareeb Fakeer Pohcha International Team Me😳🏏 🇮🇳 #youtubeshorts #motivation #youtubetrending,People & Blogs,50.0,Pakistan,52.3,,56.7,44.1,52.1,57.9,52.7,51.3,51.4,54.4,48.2,55.5,58.3,54.7,44.4,46.2,44.9,45.5
107,Pakistan,Public Power X Mask boy on fire😱😱🔥 #iltafo05 #foryou #motivation #trending #viral,People & Blogs,100.0,Pakistan,52.3,,56.7,44.1,52.1,57.9,52.7,51.3,51.4,54.4,48.2,55.5,58.3,54.7,44.4,46.2,44.9,45.5
108,Vietnam,Tạp Hoá Kì Quái [ Tập 78 ] Cách chị Đại xử catnap ngoài đời thật || NHH TV #shorts,People & Blogs,100.0,Vietnam,,52.9,54.2,54.8,53.0,53.0,57.7,55.4,50.2,50.9,50.8,50.6,51.8,53.0,54.7,54.6,55.4,57.6
109,Vietnam,Theng | Con trai đòi đi chơi với mẹ P1 #viral #shorts,People & Blogs,50.0,Vietnam,,52.9,54.2,54.8,53.0,53.0,57.7,55.4,50.2,50.9,50.8,50.6,51.8,53.0,54.7,54.6,55.4,57.6
110,Vietnam,Không thể dễ dãi được,People & Blogs,50.0,Vietnam,,52.9,54.2,54.8,53.0,53.0,57.7,55.4,50.2,50.9,50.8,50.6,51.8,53.0,54.7,54.6,55.4,57.6
111,Taiwan,裸絞真的能破解嗎？ #fighting #shorts,People & Blogs,50.0,Taiwan,,61.9,,55.5,,62.3,63.1,61.3,63.4,63.6,64.5,65.1,63.6,64.7,65.4,67.5,62.5,65.3
112,Taiwan,別惹咒言師,People & Blogs,50.0,Taiwan,,61.9,,55.5,,62.3,63.1,61.3,63.4,63.6,64.5,65.1,63.6,64.7,65.4,67.5,62.5,65.3
113,Taiwan,[MULTI SUB]《絕代雙驕》訂婚當天渣男帶豪門千金來退婚，還嘲笑她沒人要？她一氣之下拉保鏢閃婚，本以爲是窮小子，沒想到對方是千億首富，婚後寵她入骨！《披荊斬棘的婚姻》💕#chinesedrama,People & Blogs,0.0,Taiwan,,61.9,,55.5,,62.3,63.1,61.3,63.4,63.6,64.5,65.1,63.6,64.7,65.4,67.5,62.5,65.3
114,Taiwan,小猫怎么叫？一招教你迷倒所有人，你们学会了吗？#搞笑 #搞笑视频 #农村生活 #搞笑日常 #恶作剧 #funny,People & Blogs,50.0,Taiwan,,61.9,,55.5,,62.3,63.1,61.3,63.4,63.6,64.5,65.1,63.6,64.7,65.4,67.5,62.5,65.3
115,Taiwan,#棉花糖實驗 #育兒 #育兒日記 #育兒日常 #教養 #教育 #思維 #兒童 #幼兒 #幼兒教育 #心 #心理測驗,People & Blogs,50.0,Taiwan,,61.9,,55.5,,62.3,63.1,61.3,63.4,63.6,64.5,65.1,63.6,64.7,65.4,67.5,62.5,65.3
116,Taiwan,女孩簽約娛樂主播，結果卻發現進了狼窩？ #shorts#直播#女主播,People & Blogs,50.0,Taiwan,,61.9,,55.5,,62.3,63.1,61.3,63.4,63.6,64.5,65.1,63.6,64.7,65.4,67.5,62.5,65.3
117,Cambodia,Scary Teacher 3D vs Squid Game Baby Drawing Challenge Nick Loser and Tani Winner #shortsvideo,People & Blogs,100.0,Cambodia,,35.7,41.6,44.6,41.1,41.4,41.6,39.0,36.7,38.8,41.6,44.6,45.9,51.2,50.0,43.8,45.5,43.9
118,Cambodia,Please Help Sunflower Peach And Her Banana Cat Win In The Level Up Rank Game | PvZ Animation 🤣🤣🤣,People & Blogs,50.0,Cambodia,,35.7,41.6,44.6,41.1,41.4,41.6,39.0,36.7,38.8,41.6,44.6,45.9,51.2,50.0,43.8,45.5,43.9
119,Cambodia,THIS BABY IS A GHOST😱,People & Blogs,50.0,Cambodia,,35.7,41.6,44.6,41.1,41.4,41.6,39.0,36.7,38.8,41.6,44.6,45.9,51.2,50.0,43.8,45.5,43.9
