,Country,Video Title,Category,Sentiment,country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
106,Paraguay,TINI - ángel (Visualizer),Music,100.0,Paraguay,,47.3,52.7,55.7,55.8,58.4,56.8,58.2,59.4,51.2,55.6,58.0,57.1,,56.5,55.0,55.8,57.4
107,Paraguay,TINI - ni de ti (Visualizer),Music,100.0,Paraguay,,47.3,52.7,55.7,55.8,58.4,56.8,58.2,59.4,51.2,55.6,58.0,57.1,,56.5,55.0,55.8,57.4
108,Paraguay,Dua Lipa - Illusion (Official Music Video),Music,100.0,Paraguay,,47.3,52.7,55.7,55.8,58.4,56.8,58.2,59.4,51.2,55.6,58.0,57.1,,56.5,55.0,55.8,57.4
109,Paraguay,YSY A - CADA VEZ QUE (PROD. CLUB HATS),Music,50.0,Paraguay,,47.3,52.7,55.7,55.8,58.4,56.8,58.2,59.4,51.2,55.6,58.0,57.1,,56.5,55.0,55.8,57.4
110,Paraguay,Sabrina Carpenter - Espresso (Official Video),Music,50.0,Paraguay,,47.3,52.7,55.7,55.8,58.4,56.8,58.2,59.4,51.2,55.6,58.0,57.1,,56.5,55.0,55.8,57.4
111,Paraguay,"Feid, Yandel - MANIFESTING 20-05 (Official Videos)",Music,50.0,Paraguay,,47.3,52.7,55.7,55.8,58.4,56.8,58.2,59.4,51.2,55.6,58.0,57.1,,56.5,55.0,55.8,57.4
112,Uruguay,Las Pastillas del Abuelo & Ke Personajes | Loco por volverla a ver,Music,100.0,Uruguay,,57.9,56.9,56.6,63.0,60.6,65.5,64.5,64.4,65.6,66.3,61.7,63.4,63.7,66.0,63.1,65.0,64.9
113,Uruguay,TINI - ángel (Visualizer),Music,100.0,Uruguay,,57.9,56.9,56.6,63.0,60.6,65.5,64.5,64.4,65.6,66.3,61.7,63.4,63.7,66.0,63.1,65.0,64.9
114,Uruguay,"Q'Lokura, Luck Ra - MIL PREGUNTAS",Music,50.0,Uruguay,,57.9,56.9,56.6,63.0,60.6,65.5,64.5,64.4,65.6,66.3,61.7,63.4,63.7,66.0,63.1,65.0,64.9
115,Uruguay,YSY A - CADA VEZ QUE (PROD. CLUB HATS),Music,50.0,Uruguay,,57.9,56.9,56.6,63.0,60.6,65.5,64.5,64.4,65.6,66.3,61.7,63.4,63.7,66.0,63.1,65.0,64.9
116,Uruguay,TINI - ni de ti (Visualizer),Music,100.0,Uruguay,,57.9,56.9,56.6,63.0,60.6,65.5,64.5,64.4,65.6,66.3,61.7,63.4,63.7,66.0,63.1,65.0,64.9
117,Uruguay,"Emanero, BM, Onda Sabanera, Mario Luis - LADRONA (Official Video)",Music,50.0,Uruguay,,57.9,56.9,56.6,63.0,60.6,65.5,64.5,64.4,65.6,66.3,61.7,63.4,63.7,66.0,63.1,65.0,64.9
118,Uruguay,Dua Lipa - Illusion (Official Music Video),Music,100.0,Uruguay,,57.9,56.9,56.6,63.0,60.6,65.5,64.5,64.4,65.6,66.3,61.7,63.4,63.7,66.0,63.1,65.0,64.9
119,Venezuela,"Feid, Yandel - MANIFESTING 20-05 (Official Videos)",Music,50.0,Venezuela,71.7,65.3,,62.6,71.9,74.8,65.8,70.7,65.5,61.4,55.7,40.4,50.7,50.1,50.8,45.7,51.1,52.1
120,Venezuela,Dua Lipa - Illusion (Official Music Video),Music,100.0,Venezuela,71.7,65.3,,62.6,71.9,74.8,65.8,70.7,65.5,61.4,55.7,40.4,50.7,50.1,50.8,45.7,51.1,52.1
121,Venezuela,Sabrina Carpenter - Espresso (Official Video),Music,50.0,Venezuela,71.7,65.3,,62.6,71.9,74.8,65.8,70.7,65.5,61.4,55.7,40.4,50.7,50.1,50.8,45.7,51.1,52.1
