,Country,Video Title,Category,Sentiment,country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
36,Poland,Klientka wysłała po mnie TAKSÓWKĘ?😦,Howto & Style,3.5,Poland,6.0,6.0,6.0,6.0,6.0,5.5,5.5,5.5,5.0,6.0,,5.5,5.5,5.5,5.5,5.0,5.0,3.5,2.0,2.0,2.0,2.0,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,2.0,2.0,2.0,2.0,2.0
37,Portugal,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Portugal,5.5,5.5,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
38,Russia,Genial gadget para almacenar y lavar lentes de Let's GLOW,Howto & Style,3.5,Russia,,,,,,,,,,,,,,,,,,,,3.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,4.5,5.0,5.0,5.0,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.5,6.5,6.5,6.5,6.5,6.5,6.5
39,Sri Lanka,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Sri Lanka,2.5,2.5,2.5,3.0,2.5,2.0,2.5,2.5,2.5,2.5,,3.5,3.5,3.5,3.5,3.5,3.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.0,3.5,3.5,3.5,3.5,3.5,3.5,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.5,4.5,4.5,4.5,5.0,4.0,3.5,3.5,3.5,4.0,4.0,4.0,4.0
40,Sri Lanka,Good People Restore Faith in Humanity: A Heartwarming Act of Kindness on a Bus #shorts,Howto & Style,3.5,Sri Lanka,2.5,2.5,2.5,3.0,2.5,2.0,2.5,2.5,2.5,2.5,,3.5,3.5,3.5,3.5,3.5,3.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.0,3.5,3.5,3.5,3.5,3.5,3.5,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.5,4.5,4.5,4.5,5.0,4.0,3.5,3.5,3.5,4.0,4.0,4.0,4.0
41,Slovenia,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Slovenia,,,,,,,,,,,,,,,,,,,,2.5,2.0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0
42,Montenegro,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,2.5,2.5,2.5,2.5,2.5,2.5,3.0,3.0,3.0,3.5,3.5,3.0,3.0,3.0
43,Serbia,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,2.5,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.5,3.0,3.5,3.5,3.5,3.5
44,Sweden,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Sweden,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,Tanzania,Good People Restore Faith in Humanity: A Heartwarming Act of Kindness on a Bus #shorts,Howto & Style,3.5,Tanzania,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.5,5.5,5.5,5.5,6.0,5.0,5.0,5.0,4.5,4.0,4.0,4.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.0,3.0,3.0,3.0,3.0,3.5,3.5,4.0,4.5,5.0,5.0,5.0,5.0
46,Turkey,Genial gadget para almacenar y lavar lentes de Let's GLOW,Howto & Style,3.5,Turkey,3.5,3.0,2.5,2.5,2.5,2.5,2.5,2.5,5.0,5.0,,4.5,4.0,4.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.5,4.5,4.5,4.5,4.5,4.5,3.5,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.5,3.5,4.5,5.5,5.5,5.5,5.5,5.5,5.5
47,Turkey,Çocukken herkes aynı :),Howto & Style,3.5,Turkey,3.5,3.0,2.5,2.5,2.5,2.5,2.5,2.5,5.0,5.0,,4.5,4.0,4.0,3.5,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,4.5,4.5,4.5,4.5,4.5,4.5,3.5,3.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.5,3.5,3.5,3.5,4.5,5.5,5.5,5.5,5.5,5.5,5.5
48,Pakistan,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Pakistan,4.0,4.0,4.0,5.0,4.5,5.0,5.5,5.5,6.0,6.0,,6.0,6.0,4.5,4.5,4.5,3.0,3.0,4.0,4.5,4.5,4.0,4.0,4.0,4.5,4.5,4.5,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5.0,5.0,5.0,5.0,5.0
49,Vietnam,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Vietnam,5.8,5.8,5.8,7.0,7.0,7.0,7.0,7.0,7.0,6.5,,6.5,6.5,7.0,7.0,6.5,6.5,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.5,6.5,6.5,6.5,6.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.5,6.5,6.5
50,Cyprus,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Cyprus,2.5,2.5,4.0,4.0,3.5,3.5,3.5,3.0,3.0,1.5,,1.5,1.5,1.5,1.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51,Cambodia,Mac & Cheese Donut @patrickzeinali @ChefRush,Howto & Style,3.5,Cambodia,5.5,5.5,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,4.5,4.5,6.0,6.0,6.5,6.0,6.0,6.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0
